road_id,hour,day_of_week,weather,is_holiday,road_capacity,road_length_km,historical_flow,avg_speed_kmh
1-3,20,Tuesday,rain,0,3000.0,8.5,100,49.88
1-3,17,Tuesday,fog,0,3000.0,8.5,100,43.64
1-3,5,Thursday,fog,0,3000.0,8.5,100,48.41
1-3,12,Friday,cloudy,0,3000.0,8.5,100,52.56
1-3,17,Wednesday,rain,0,3000.0,8.5,100,41.04
1-3,3,Monday,rain,1,3000.0,8.5,100,45.3
1-3,8,Monday,rain,0,3000.0,8.5,100,40.06
1-3,20,Thursday,clear,0,3000.0,8.5,100,54.69
1-3,1,Thursday,rain,0,3000.0,8.5,100,49.58
1-3,10,Wednesday,rain,0,3000.0,8.5,118.52,41.19
1-3,11,Monday,rain,0,3000.0,8.5,100,50.46
1-3,0,Sunday,cloudy,1,3000.0,8.5,100,53.78
1-3,22,Thursday,fog,0,3000.0,8.5,100,51.73
1-3,13,Wednesday,clear,0,3000.0,8.5,100,52.66
1-3,9,Wednesday,fog,0,3000.0,8.5,100,46.52
1-3,1,Tuesday,cloudy,0,3000.0,8.5,119.27,51.65
1-3,14,Friday,clear,0,3000.0,8.5,100,57.14
1-3,17,Monday,cloudy,0,3000.0,8.5,137.77,48.7
1-3,6,Thursday,fog,0,3000.0,8.5,100,47.7
1-3,6,Sunday,cloudy,0,3000.0,8.5,100,55.04
1-3,9,Saturday,cloudy,1,3000.0,8.5,100,45.51
1-3,2,Thursday,cloudy,0,3000.0,8.5,100,54.31
1-3,21,Sunday,rain,0,3000.0,8.5,100,46.85
1-3,10,Tuesday,cloudy,0,3000.0,8.5,100,46.95
1-3,11,Saturday,cloudy,1,3000.0,8.5,141.91,53.65
1-3,13,Monday,clear,0,3000.0,8.5,100,56.05
1-3,16,Thursday,clear,0,3000.0,8.5,104.61,48.51
1-3,15,Friday,clear,0,3000.0,8.5,110.21,46.45
1-3,20,Tuesday,rain,0,3000.0,8.5,100,51.02
1-3,19,Saturday,cloudy,0,3000.0,8.5,100,49.02
1-3,0,Thursday,rain,0,3000.0,8.5,100,48.74
1-3,22,Sunday,rain,1,3000.0,8.5,134.82,50.29
1-3,10,Friday,clear,1,3000.0,8.5,100,50.29
1-3,22,Thursday,cloudy,0,3000.0,8.5,100,51.25
1-3,10,Friday,rain,0,3000.0,8.5,100,40.32
1-3,11,Friday,fog,0,3000.0,8.5,100,49.58
1-3,2,Tuesday,clear,0,3000.0,8.5,100,52.98
1-3,18,Friday,clear,0,3000.0,8.5,100,49.5
1-3,18,Tuesday,fog,0,3000.0,8.5,100,46.44
1-3,7,Thursday,clear,0,3000.0,8.5,136.21,45.27
1-3,9,Friday,cloudy,0,3000.0,8.5,100,47.09
1-3,6,Thursday,fog,0,3000.0,8.5,100,48.21
1-3,19,Wednesday,clear,0,3000.0,8.5,100,48.04
1-3,5,Sunday,clear,0,3000.0,8.5,100,54.89
1-3,3,Saturday,fog,0,3000.0,8.5,143.06,51.88
1-3,0,Friday,rain,0,3000.0,8.5,121.02,48.72
1-3,9,Friday,fog,0,3000.0,8.5,100,45.93
1-3,5,Wednesday,clear,0,3000.0,8.5,100,54.24
1-3,10,Friday,cloudy,0,3000.0,8.5,100,45.87
1-3,6,Thursday,rain,0,3000.0,8.5,100,50.86
1-8,9,Thursday,cloudy,1,2500.0,6.2,100,48.72
1-8,17,Thursday,fog,0,2500.0,6.2,100,42.39
1-8,3,Wednesday,clear,0,2500.0,6.2,140.54,55.64
1-8,1,Tuesday,cloudy,0,2500.0,6.2,137.5,54.2
1-8,22,Saturday,cloudy,0,2500.0,6.2,100,51.18
1-8,19,Monday,cloudy,0,2500.0,6.2,100,45.64
1-8,19,Tuesday,fog,1,2500.0,6.2,111.08,46.37
1-8,7,Wednesday,clear,0,2500.0,6.2,100,49.44
1-8,6,Thursday,clear,1,2500.0,6.2,100,53.94
1-8,4,Sunday,fog,0,2500.0,6.2,100,50.59
1-8,6,Wednesday,fog,0,2500.0,6.2,100,49.36
1-8,1,Tuesday,cloudy,1,2500.0,6.2,100,52.33
1-8,4,Sunday,cloudy,0,2500.0,6.2,100,55.15
1-8,18,Thursday,rain,0,2500.0,6.2,100,45.6
1-8,16,Monday,fog,0,2500.0,6.2,100,46.41
1-8,16,Monday,cloudy,1,2500.0,6.2,117.79,50.72
1-8,21,Saturday,cloudy,0,2500.0,6.2,100,52.63
1-8,5,Friday,clear,0,2500.0,6.2,100,54.3
1-8,20,Friday,rain,0,2500.0,6.2,100,45.59
1-8,11,Sunday,clear,1,2500.0,6.2,100,53.12
1-8,10,Tuesday,clear,1,2500.0,6.2,100,46.64
1-8,11,Monday,clear,0,2500.0,6.2,100,51.77
1-8,2,Monday,rain,0,2500.0,6.2,131.03,49.15
1-8,7,Monday,clear,0,2500.0,6.2,100,48.91
1-8,21,Wednesday,cloudy,1,2500.0,6.2,148.65,53.19
1-8,4,Thursday,cloudy,0,2500.0,6.2,100,52.85
1-8,20,Monday,cloudy,0,2500.0,6.2,116.3,49.94
1-8,16,Wednesday,cloudy,0,2500.0,6.2,100,46.65
1-8,2,Thursday,rain,0,2500.0,6.2,100,48.69
1-8,18,Thursday,cloudy,0,2500.0,6.2,100,48.77
1-8,4,Sunday,clear,0,2500.0,6.2,100,53.56
1-8,15,Sunday,cloudy,0,2500.0,6.2,100,50.67
1-8,5,Thursday,cloudy,0,2500.0,6.2,100,55.46
1-8,7,Sunday,clear,0,2500.0,6.2,100,50.21
1-8,13,Tuesday,rain,0,2500.0,6.2,100,45.07
1-8,17,Sunday,rain,0,2500.0,6.2,100,45.86
1-8,5,Tuesday,clear,0,2500.0,6.2,100,52.75
1-8,19,Friday,clear,0,2500.0,6.2,144.51,47.1
1-8,0,Thursday,clear,0,2500.0,6.2,130.02,54.71
1-8,10,Wednesday,clear,0,2500.0,6.2,100,49.04
1-8,12,Monday,cloudy,0,2500.0,6.2,100,53.43
1-8,19,Wednesday,fog,0,2500.0,6.2,100,45.8
1-8,2,Thursday,fog,1,2500.0,6.2,100,50.88
1-8,8,Thursday,rain,0,2500.0,6.2,107.9,43.06
1-8,9,Saturday,cloudy,0,2500.0,6.2,100,48.97
1-8,23,Sunday,clear,1,2500.0,6.2,100,51.61
1-8,17,Wednesday,rain,0,2500.0,6.2,100,44.81
1-8,6,Sunday,rain,0,2500.0,6.2,105.61,48.67
1-8,15,Sunday,rain,1,2500.0,6.2,100,44.26
1-8,8,Thursday,fog,0,2500.0,6.2,100,42.27
1-8,19,Sunday,fog,1,2500.0,6.2,142.01,45.12
1-8,17,Thursday,cloudy,0,2500.0,6.2,127.85,50.07
1-8,22,Wednesday,clear,1,2500.0,6.2,135.29,55.44
1-8,15,Monday,rain,0,2500.0,6.2,100,41.17
1-8,19,Saturday,fog,0,2500.0,6.2,100,46.93
1-8,2,Wednesday,rain,0,2500.0,6.2,100,50.18
1-8,6,Tuesday,clear,0,2500.0,6.2,149.34,52.7
1-8,15,Tuesday,fog,0,2500.0,6.2,100,45.36
1-8,6,Thursday,clear,1,2500.0,6.2,100,51.56
1-8,21,Monday,fog,0,2500.0,6.2,100,50.39
1-8,18,Monday,clear,0,2500.0,6.2,100,50.41
1-8,22,Monday,fog,0,2500.0,6.2,100,47.39
1-8,11,Friday,rain,0,2500.0,6.2,107.7,49.17
1-8,22,Monday,clear,1,2500.0,6.2,100,54.81
1-8,1,Thursday,clear,1,2500.0,6.2,100,56.92
1-8,8,Saturday,rain,1,2500.0,6.2,100,43.18
1-8,2,Thursday,rain,0,2500.0,6.2,100,49.67
1-8,4,Wednesday,cloudy,1,2500.0,6.2,100,51.78
1-8,23,Tuesday,cloudy,0,2500.0,6.2,100.65,52.39
1-8,10,Thursday,rain,0,2500.0,6.2,114.1,41.1
1-8,23,Monday,clear,0,2500.0,6.2,100,56.83
1-8,6,Sunday,cloudy,0,2500.0,6.2,126.26,53.16
1-8,12,Wednesday,cloudy,1,2500.0,6.2,100,51.57
1-8,6,Saturday,clear,0,2500.0,6.2,100,54.75
1-8,13,Tuesday,cloudy,1,2500.0,6.2,100,54.06
1-8,2,Monday,fog,0,2500.0,6.2,100,50.3
1-8,18,Monday,clear,0,2500.0,6.2,100,46.9
1-8,14,Wednesday,cloudy,0,2500.0,6.2,100,53.79
1-8,15,Tuesday,rain,0,2500.0,6.2,100,44.85
1-8,20,Monday,fog,0,2500.0,6.2,119.3,49.7
1-8,4,Monday,cloudy,0,2500.0,6.2,100,54.84
1-8,0,Sunday,fog,0,2500.0,6.2,100,51.08
1-8,6,Thursday,rain,0,2500.0,6.2,124.48,49.75
1-8,2,Wednesday,cloudy,0,2500.0,6.2,144.26,55.04
1-8,23,Wednesday,cloudy,1,2500.0,6.2,100,51.99
1-8,13,Monday,rain,1,2500.0,6.2,100,49.51
1-8,16,Sunday,clear,0,2500.0,6.2,100,47.07
1-8,22,Wednesday,cloudy,1,2500.0,6.2,100,51.02
1-8,12,Saturday,rain,0,2500.0,6.2,100,50.35
1-8,15,Wednesday,cloudy,0,2500.0,6.2,100,49.77
1-8,19,Tuesday,cloudy,0,2500.0,6.2,100,45.36
1-8,23,Friday,fog,0,2500.0,6.2,100,50.36
1-8,22,Thursday,rain,0,2500.0,6.2,100,50.58
1-8,4,Wednesday,clear,0,2500.0,6.2,100,51.72
1-8,13,Thursday,rain,0,2500.0,6.2,123.18,45.35
1-8,4,Wednesday,rain,1,2500.0,6.2,133.66,46.34
1-8,19,Tuesday,rain,0,2500.0,6.2,100,41.03
1-8,20,Saturday,cloudy,1,2500.0,6.2,147.13,52.36
1-8,0,Tuesday,cloudy,0,2500.0,6.2,100,55.3
1-8,12,Sunday,rain,0,2500.0,6.2,100,46.77
1-8,15,Sunday,clear,0,2500.0,6.2,100,50.65
1-8,13,Tuesday,cloudy,0,2500.0,6.2,105.27,52.28
1-8,17,Monday,fog,0,2500.0,6.2,112.76,43.22
1-8,22,Sunday,clear,0,2500.0,6.2,100,55.18
1-8,23,Friday,clear,0,2500.0,6.2,100,53.47
1-8,10,Saturday,fog,0,2500.0,6.2,148.82,41.27
1-8,9,Tuesday,rain,0,2500.0,6.2,105.99,41.15
1-8,20,Monday,clear,1,2500.0,6.2,100,54.74
1-8,23,Thursday,clear,0,2500.0,6.2,100,55.09
1-8,21,Thursday,fog,0,2500.0,6.2,100,49.11
1-8,16,Sunday,clear,0,2500.0,6.2,137.59,48.39
1-8,5,Saturday,rain,0,2500.0,6.2,100,50.78
1-8,3,Monday,rain,0,2500.0,6.2,100,50.47
1-8,22,Saturday,rain,0,2500.0,6.2,100,47.33
1-8,2,Wednesday,rain,1,2500.0,6.2,135.6,45.75
1-8,14,Friday,cloudy,0,2500.0,6.2,100,54.45
1-8,19,Thursday,cloudy,0,2500.0,6.2,115.91,50.57
1-8,23,Monday,fog,0,2500.0,6.2,100,51.43
1-8,0,Friday,rain,0,2500.0,6.2,100,46.0
1-8,19,Saturday,fog,0,2500.0,6.2,100,47.06
2-3,22,Wednesday,cloudy,0,2800.0,5.9,100,55.48
2-3,2,Wednesday,cloudy,0,2800.0,5.9,100,51.07
2-3,19,Tuesday,clear,1,2800.0,5.9,100,49.3
2-3,11,Sunday,cloudy,1,2800.0,5.9,100,50.23
2-3,5,Tuesday,cloudy,0,2800.0,5.9,100,50.94
2-3,18,Friday,clear,1,2800.0,5.9,100,49.73
2-3,20,Sunday,cloudy,0,2800.0,5.9,116.61,53.51
2-3,15,Friday,rain,0,2800.0,5.9,140.93,44.6
2-3,6,Friday,rain,1,2800.0,5.9,100,47.17
2-3,23,Tuesday,fog,0,2800.0,5.9,100,51.44
2-3,13,Monday,rain,0,2800.0,5.9,100,47.21
2-3,5,Tuesday,fog,0,2800.0,5.9,100,49.14
2-3,12,Monday,fog,0,2800.0,5.9,100,49.17
2-3,2,Friday,rain,1,2800.0,5.9,127.87,47.79
2-3,6,Monday,fog,0,2800.0,5.9,100,50.12
2-3,2,Friday,cloudy,0,2800.0,5.9,100,55.45
2-3,12,Wednesday,clear,0,2800.0,5.9,100,55.3
2-3,23,Wednesday,clear,0,2800.0,5.9,100,52.34
2-3,10,Thursday,cloudy,1,2800.0,5.9,100,48.54
2-3,2,Saturday,cloudy,0,2800.0,5.9,100,55.96
2-3,23,Friday,rain,0,2800.0,5.9,100,47.97
2-3,2,Friday,rain,0,2800.0,5.9,100,50.35
2-3,18,Wednesday,fog,1,2800.0,5.9,100,47.02
2-3,23,Tuesday,rain,0,2800.0,5.9,100,49.98
2-3,12,Sunday,cloudy,0,2800.0,5.9,100,56.08
2-3,23,Wednesday,rain,0,2800.0,5.9,100,47.6
2-3,23,Wednesday,fog,0,2800.0,5.9,100,47.16
2-3,11,Saturday,rain,0,2800.0,5.9,100,48.78
2-3,1,Monday,rain,0,2800.0,5.9,148.68,44.79
2-3,11,Tuesday,rain,1,2800.0,5.9,137.2,45.98
2-3,22,Sunday,cloudy,1,2800.0,5.9,100,54.24
2-3,14,Sunday,fog,0,2800.0,5.9,134.83,51.55
2-3,10,Friday,fog,1,2800.0,5.9,100,45.58
2-3,9,Thursday,clear,0,2800.0,5.9,100,48.74
2-3,12,Monday,cloudy,0,2800.0,5.9,100,54.12
2-3,3,Thursday,rain,0,2800.0,5.9,100,49.06
2-3,11,Saturday,rain,1,2800.0,5.9,100,48.52
2-3,1,Thursday,cloudy,1,2800.0,5.9,100,52.78
2-3,4,Sunday,cloudy,0,2800.0,5.9,100,55.76
2-3,12,Thursday,rain,0,2800.0,5.9,100,48.78
2-3,19,Wednesday,cloudy,0,2800.0,5.9,100,50.48
2-3,21,Monday,fog,1,2800.0,5.9,100,49.26
2-3,3,Saturday,cloudy,0,2800.0,5.9,106.05,51.46
2-3,23,Monday,cloudy,0,2800.0,5.9,100,51.55
2-3,17,Sunday,cloudy,0,2800.0,5.9,100,47.97
2-3,5,Friday,fog,1,2800.0,5.9,100,47.62
2-3,0,Sunday,fog,0,2800.0,5.9,100,48.87
2-3,19,Monday,cloudy,0,2800.0,5.9,100,48.33
2-3,5,Thursday,clear,0,2800.0,5.9,100,55.69
2-3,12,Friday,clear,0,2800.0,5.9,100,54.62
2-3,3,Saturday,fog,0,2800.0,5.9,134.04,52.58
2-3,15,Friday,clear,0,2800.0,5.9,100,49.93
2-3,0,Monday,clear,1,2800.0,5.9,100,52.27
2-3,18,Tuesday,rain,0,2800.0,5.9,103.35,44.79
2-3,10,Friday,clear,0,2800.0,5.9,100,46.49
2-3,5,Monday,fog,1,2800.0,5.9,100,49.02
2-3,17,Monday,cloudy,0,2800.0,5.9,141.28,45.84
2-3,15,Tuesday,rain,1,2800.0,5.9,100,45.92
2-3,2,Thursday,cloudy,0,2800.0,5.9,100,51.06
2-3,20,Wednesday,fog,1,2800.0,5.9,148.96,48.06
2-3,9,Tuesday,cloudy,0,2800.0,5.9,100,47.37
2-3,1,Tuesday,clear,0,2800.0,5.9,100,56.5
2-3,1,Wednesday,cloudy,0,2800.0,5.9,100,51.21
2-3,12,Friday,cloudy,0,2800.0,5.9,100,51.73
2-3,9,Sunday,fog,0,2800.0,5.9,100,41.82
2-3,11,Monday,clear,0,2800.0,5.9,100,55.82
2-3,6,Thursday,clear,0,2800.0,5.9,114.95,52.77
2-3,20,Wednesday,cloudy,0,2800.0,5.9,100,51.19
2-3,14,Sunday,fog,1,2800.0,5.9,100,48.32
2-3,14,Sunday,fog,0,2800.0,5.9,100,51.96
2-3,19,Friday,rain,0,2800.0,5.9,100,43.66
2-3,20,Saturday,cloudy,0,2800.0,5.9,100,51.7
2-3,9,Sunday,clear,0,2800.0,5.9,100,46.0
2-3,14,Friday,fog,0,2800.0,5.9,121.04,51.36
2-3,5,Thursday,fog,0,2800.0,5.9,100,51.95
2-3,5,Tuesday,clear,1,2800.0,5.9,149.91,53.29
2-3,4,Monday,rain,1,2800.0,5.9,100,50.99
2-3,15,Wednesday,cloudy,1,2800.0,5.9,100,49.24
2-3,23,Saturday,fog,0,2800.0,5.9,100,49.25
2-3,23,Friday,rain,1,2800.0,5.9,100,47.77
2-3,4,Tuesday,rain,1,2800.0,5.9,100,50.76
2-3,22,Thursday,rain,1,2800.0,5.9,100,45.44
2-3,5,Tuesday,clear,0,2800.0,5.9,100,55.24
2-3,5,Saturday,rain,0,2800.0,5.9,100,48.12
2-3,1,Saturday,fog,0,2800.0,5.9,100,47.3
2-3,0,Thursday,cloudy,0,2800.0,5.9,100,53.13
2-3,10,Friday,clear,1,2800.0,5.9,100,47.06
2-3,2,Monday,fog,1,2800.0,5.9,100,48.81
2-3,4,Thursday,fog,0,2800.0,5.9,100,51.62
2-3,22,Sunday,rain,0,2800.0,5.9,100,50.26
2-3,19,Monday,cloudy,0,2800.0,5.9,100,47.56
2-3,16,Wednesday,fog,0,2800.0,5.9,100,44.17
2-3,11,Tuesday,cloudy,1,2800.0,5.9,100,54.74
2-3,11,Tuesday,fog,0,2800.0,5.9,134.73,48.07
2-3,14,Wednesday,clear,0,2800.0,5.9,100,51.64
2-3,15,Sunday,fog,0,2800.0,5.9,100,44.64
2-3,13,Thursday,rain,0,2800.0,5.9,100,46.62
2-3,6,Monday,clear,0,2800.0,5.9,100,53.91
2-3,18,Thursday,clear,0,2800.0,5.9,100,47.0
2-3,21,Wednesday,clear,0,2800.0,5.9,100,53.31
2-3,13,Tuesday,rain,0,2800.0,5.9,100,49.73
2-3,11,Saturday,rain,0,2800.0,5.9,100,46.61
2-3,23,Tuesday,cloudy,0,2800.0,5.9,100,52.37
2-3,23,Sunday,clear,1,2800.0,5.9,100,53.09
2-3,5,Wednesday,rain,0,2800.0,5.9,112.09,49.69
2-3,0,Monday,cloudy,0,2800.0,5.9,100,54.67
2-3,16,Thursday,clear,0,2800.0,5.9,100,46.83
2-3,2,Friday,rain,0,2800.0,5.9,100,47.23
2-3,15,Saturday,rain,0,2800.0,5.9,100,40.94
2-3,3,Tuesday,fog,1,2800.0,5.9,100,48.74
2-3,0,Wednesday,clear,1,2800.0,5.9,100,57.06
2-3,21,Sunday,fog,0,2800.0,5.9,100,47.28
2-3,19,Thursday,fog,0,2800.0,5.9,100,47.3
2-3,3,Sunday,fog,0,2800.0,5.9,100,48.28
2-3,13,Thursday,fog,0,2800.0,5.9,100,49.69
2-3,10,Tuesday,cloudy,0,2800.0,5.9,100,45.14
2-3,17,Thursday,fog,0,2800.0,5.9,133.29,46.46
2-3,19,Sunday,rain,0,2800.0,5.9,107.53,45.5
2-3,2,Friday,cloudy,0,2800.0,5.9,126.35,53.57
2-3,3,Saturday,rain,1,2800.0,5.9,100,50.93
2-5,2,Monday,clear,0,3200.0,4.0,100,56.91
2-5,22,Monday,rain,0,3200.0,4.0,100,49.26
2-5,8,Sunday,clear,1,3200.0,4.0,100,48.51
2-5,22,Tuesday,clear,1,3200.0,4.0,122.74,55.44
2-5,0,Friday,rain,0,3200.0,4.0,100,45.23
2-5,22,Friday,clear,0,3200.0,4.0,100,55.15
2-5,13,Monday,fog,0,3200.0,4.0,100,52.94
2-5,2,Tuesday,fog,0,3200.0,4.0,100,49.81
2-5,13,Thursday,clear,1,3200.0,4.0,120.41,56.98
2-5,9,Monday,cloudy,0,3200.0,4.0,100,47.55
2-5,9,Saturday,fog,0,3200.0,4.0,100,45.58
2-5,7,Sunday,fog,0,3200.0,4.0,100,41.76
2-5,13,Monday,cloudy,1,3200.0,4.0,100,51.25
2-5,4,Saturday,rain,1,3200.0,4.0,147.12,50.36
2-5,18,Sunday,fog,1,3200.0,4.0,100,46.89
2-5,10,Friday,fog,1,3200.0,4.0,107.85,42.53
2-5,19,Wednesday,rain,0,3200.0,4.0,100,45.62
2-5,22,Wednesday,fog,1,3200.0,4.0,131.26,47.71
2-5,7,Thursday,rain,0,3200.0,4.0,100,42.21
2-5,0,Wednesday,rain,0,3200.0,4.0,100,46.7
2-5,17,Tuesday,rain,0,3200.0,4.0,100,41.11
2-5,0,Sunday,rain,0,3200.0,4.0,100,50.73
2-5,10,Saturday,fog,0,3200.0,4.0,100,45.79
2-5,3,Monday,rain,0,3200.0,4.0,100,45.76
2-5,12,Thursday,clear,0,3200.0,4.0,100,56.09
2-5,20,Sunday,clear,1,3200.0,4.0,134.5,55.26
2-5,18,Friday,clear,0,3200.0,4.0,137.93,50.21
2-5,15,Tuesday,rain,1,3200.0,4.0,118.35,43.83
2-5,14,Tuesday,clear,0,3200.0,4.0,143.54,52.94
2-5,20,Wednesday,cloudy,0,3200.0,4.0,100,52.61
2-5,7,Sunday,cloudy,0,3200.0,4.0,144.63,45.83
2-5,18,Thursday,clear,0,3200.0,4.0,100,52.16
2-5,5,Wednesday,cloudy,0,3200.0,4.0,100,53.58
2-5,22,Saturday,clear,1,3200.0,4.0,100,56.72
2-5,19,Thursday,fog,1,3200.0,4.0,100,44.78
2-5,20,Wednesday,cloudy,0,3200.0,4.0,100,51.72
2-5,4,Monday,rain,0,3200.0,4.0,124.66,50.81
2-5,17,Monday,clear,0,3200.0,4.0,116.95,49.66
2-5,6,Tuesday,cloudy,1,3200.0,4.0,100,53.55
2-5,12,Monday,rain,1,3200.0,4.0,100,50.52
2-5,14,Wednesday,fog,0,3200.0,4.0,100,49.48
2-5,19,Friday,cloudy,0,3200.0,4.0,146.6,48.11
2-5,11,Saturday,clear,0,3200.0,4.0,100,54.98
2-5,2,Monday,cloudy,0,3200.0,4.0,100,55.01
2-5,4,Tuesday,fog,0,3200.0,4.0,100,50.89
2-5,6,Wednesday,rain,1,3200.0,4.0,100,47.45
2-5,8,Thursday,cloudy,0,3200.0,4.0,137.64,49.03
2-5,7,Thursday,fog,0,3200.0,4.0,100,44.22
2-5,4,Friday,rain,1,3200.0,4.0,100,49.13
2-5,16,Thursday,fog,0,3200.0,4.0,100,45.0
2-5,12,Thursday,rain,0,3200.0,4.0,108.34,45.99
2-5,1,Saturday,rain,0,3200.0,4.0,100,47.33
2-5,0,Friday,cloudy,0,3200.0,4.0,100,55.04
2-5,5,Friday,clear,0,3200.0,4.0,100,51.89
2-5,13,Saturday,clear,0,3200.0,4.0,120.36,55.65
2-5,13,Friday,cloudy,0,3200.0,4.0,102.38,54.52
2-5,6,Monday,rain,1,3200.0,4.0,102.47,45.23
2-5,18,Wednesday,cloudy,1,3200.0,4.0,100,49.65
2-5,3,Saturday,cloudy,0,3200.0,4.0,100,53.8
2-5,13,Saturday,fog,0,3200.0,4.0,100,53.18
2-5,23,Sunday,fog,1,3200.0,4.0,100,48.22
2-5,0,Tuesday,fog,0,3200.0,4.0,100,49.53
2-5,11,Sunday,clear,1,3200.0,4.0,100,54.73
2-5,12,Monday,cloudy,1,3200.0,4.0,100,50.67
2-5,4,Wednesday,rain,0,3200.0,4.0,100,50.22
2-5,0,Thursday,cloudy,0,3200.0,4.0,100,52.93
2-5,3,Tuesday,fog,0,3200.0,4.0,100,48.34
2-5,9,Friday,clear,1,3200.0,4.0,100,47.94
2-5,18,Thursday,cloudy,1,3200.0,4.0,100,46.12
2-5,2,Thursday,clear,0,3200.0,4.0,100,56.76
2-5,20,Sunday,fog,0,3200.0,4.0,116.65,51.5
2-5,17,Thursday,rain,0,3200.0,4.0,100,43.22
2-5,2,Friday,rain,0,3200.0,4.0,100,45.48
2-5,11,Sunday,clear,0,3200.0,4.0,118.43,53.01
